10060651,10060651
16060505,16060505
17060263,17060263
11060612,11060612
16060514,16060514
17060264,17060264
12060369,12060369
16060516,16060516
17060265,17060265
12060387,12060387
16060530,16060530
17060266,17060266
13061072,13061072
16060531,16060531
17060267,17060267
13061078,13061078
16060532,16060532
17060268,17060268
13061085,13061085
16060534,16060534
17060269,17060269
13061094,13061094
16061577,16061577
17060270,17060270
13061497,13061497
16061579,16061579
17060271,17060271
13061542,13061542
16061635,16061635
17060272,17060272
14060284,14060284
16061668,16061668
17060273,17060273
14060298,14060298
16061704,16061704
17060276,17060276
14060340,14060340
16061714,16061714
17060277,17060277
14060652,14060652
16061717,16061717
17060278,17060278
15060024,15060024
16061720,16061720
17060279,17060279
15060025,15060025
16061764,16061764
17060281,17060281
15060026,15060026
16061766,16061766
17060282,17060282
15060034,15060034
16061804,16061804
17060283,17060283
15060040,15060040
16061805,16061805
17060284,17060284
15060043,15060043
16061807,16061807
17060285,17060285
15060055,15060055
16061835,16061835
17060287,17060287
15060060,15060060
16061840,16061840
17060288,17060288
15060061,15060061
16061841,16061841
17060289,17060289
15060734,15060734
16061842,16061842
17060290,17060290
15060836,15060836
16061845,16061845
17060291,17060291
15060927,15060927
16061847,16061847
17060292,17060292
15060948,15060948
16061849,16061849
17060293,17060293
15060966,15060966
17060239,17060239
17060295,17060295
16060015,16060015
17060240,17060240
17060296,17060296
16060020,16060020
17060241,17060241
17060297,17060297
16060037,16060037
17060242,17060242
17060298,17060298
16060046,16060046
17060243,17060243
17060299,17060299
16060060,16060060
17060244,17060244
17060549,17060549
16060109,16060109
17060245,17060245
17060554,17060554
16060130,16060130
17060246,17060246
17060559,17060559
16060172,16060172
17060247,17060247
17060568,17060568
16060204,16060204
17060248,17060248
17060571,17060571
16060206,16060206
17060249,17060249
17060604,17060604
16060252,16060252
17060250,17060250
17060605,17060605
16060291,16060291
17060251,17060251
17060623,17060623
16060302,16060302
17060252,17060252
17060657,17060657
16060335,16060335
17060253,17060253
17060675,17060675
16060366,16060366
17060256,17060256
17060683,17060683
16060386,16060386
17060257,17060257
17060717,17060717
16060414,16060414
17060258,17060258
17060718,17060718
16060424,16060424
17060259,17060259
17060719,17060719
16060458,16060458
17060260,17060260
17060720,17060720
16060470,16060470
17060261,17060261
17060721,17060721
16060500,16060500
17060262,17060262
17060788,17060788
17060802,17060802
17060806,17060806
17060807,17060807
16210341,16210341
17211109,17211109
